Date,Price,Open,High,Low,Vol.,Change %,Volume
10/1/2024,0.106898,0.114316,0.119318,0.102769,2.89B,-6.50%,2890000000
9/30/2024,0.114332,0.12448,0.124591,0.11355,1.88B,-8.16%,1880000000
9/29/2024,0.124491,0.128139,0.130334,0.124491,1.48B,-2.89%,1480000000
9/28/2024,0.128195,0.123534,0.13188,0.120343,2.61B,3.77%,2610000000
9/27/2024,0.123542,0.118104,0.128475,0.117043,2.59B,4.60%,2590000000
9/26/2024,0.118103,0.108515,0.120265,0.107049,2.60B,8.84%,2600000000
9/25/2024,0.108516,0.109738,0.111077,0.108054,1.38B,-1.10%,1380000000
9/24/2024,0.109726,0.108039,0.110491,0.106864,1.35B,1.56%,1350000000
9/23/2024,0.108036,0.106355,0.109153,0.104232,1.34B,1.59%,1340000000
9/22/2024,0.106344,0.109912,0.109921,0.103862,909.92M,-3.25%,909920000
9/21/2024,0.109916,0.105536,0.110378,0.104056,1.08B,4.15%,1080000000
9/20/2024,0.105535,0.104966,0.107421,0.103654,1.32B,0.55%,1320000000
9/19/2024,0.104962,0.103762,0.107066,0.103471,1.48B,1.18%,1480000000
9/18/2024,0.103742,0.101142,0.103773,0.099419,1.21B,2.57%,1210000000
9/17/2024,0.101142,0.099662,0.102505,0.098722,1.19B,1.50%,1190000000
9/16/2024,0.099647,0.10283,0.103175,0.098383,1.14B,-3.11%,1140000000
9/15/2024,0.102841,0.1054,0.106382,0.102379,872.38M,-2.43%,872380000
9/14/2024,0.105397,0.10704,0.107614,0.104476,1.10B,-1.54%,1100000000
9/13/2024,0.107041,0.102729,0.108327,0.101804,1.69B,4.19%,1690000000
9/12/2024,0.102732,0.101311,0.103302,0.100458,1.10B,1.39%,1100000000
9/11/2024,0.101326,0.102801,0.103043,0.098016,1.21B,-1.42%,1210000000
9/10/2024,0.102781,0.103766,0.104522,0.101611,1.06B,-0.93%,1060000000
9/9/2024,0.103751,0.096138,0.104652,0.095731,1.75B,7.93%,1750000000
9/8/2024,0.096127,0.095399,0.096931,0.093895,857.55M,0.76%,857550000
9/7/2024,0.095399,0.092562,0.095668,0.091761,1.13B,3.07%,1130000000
9/6/2024,0.092559,0.098408,0.099426,0.08911,1.95B,-5.95%,1950000000
9/5/2024,0.098411,0.097992,0.099162,0.096074,1.09B,0.44%,1090000000
9/4/2024,0.097979,0.096752,0.099475,0.092184,1.56B,1.25%,1560000000
9/3/2024,0.09677,0.099114,0.100706,0.096612,963.92M,-2.36%,963920000
9/2/2024,0.099108,0.095084,0.099769,0.094115,1.12B,4.23%,1120000000
9/1/2024,0.095087,0.101282,0.101473,0.094165,1.00B,-6.12%,1000000000
8/31/2024,0.101281,0.101741,0.102359,0.100365,722.19M,-0.46%,722190000
8/30/2024,0.101753,0.100429,0.102456,0.097209,1.42B,1.32%,1420000000
8/29/2024,0.10043,0.099594,0.102518,0.098351,1.10B,0.83%,1100000000
8/28/2024,0.099601,0.099011,0.101761,0.097004,1.71B,0.60%,1710000000
8/27/2024,0.099007,0.105207,0.106498,0.096634,1.59B,-5.90%,1590000000
8/26/2024,0.10521,0.10971,0.110297,0.10453,1.25B,-4.11%,1250000000
8/25/2024,0.109723,0.112592,0.1128,0.107946,1.29B,-2.55%,1290000000
8/24/2024,0.112591,0.112896,0.114951,0.110899,1.77B,-0.27%,1770000000
8/23/2024,0.112895,0.105254,0.115271,0.105239,2.03B,7.27%,2030000000
8/22/2024,0.105246,0.106151,0.106864,0.104113,956.06M,-0.85%,956060000
8/21/2024,0.10615,0.102926,0.107868,0.102227,1.21B,3.14%,1210000000
8/20/2024,0.102921,0.10133,0.105616,0.101112,1.73B,1.57%,1730000000
8/19/2024,0.101331,0.100068,0.101773,0.098616,1.18B,1.28%,1180000000
8/18/2024,0.100048,0.102769,0.104394,0.100039,937.83M,-2.64%,937830000
8/17/2024,0.102765,0.100328,0.103661,0.100006,802.44M,2.43%,802440000
8/16/2024,0.100324,0.1002,0.102042,0.097624,1.42B,0.14%,1420000000
8/15/2024,0.100182,0.102449,0.104825,0.098005,1.53B,-2.22%,1530000000
8/14/2024,0.102455,0.106381,0.106801,0.101566,1.31B,-3.69%,1310000000
8/13/2024,0.106382,0.107893,0.109013,0.103422,1.38B,-1.39%,1380000000
8/12/2024,0.107881,0.100514,0.108489,0.100219,1.98B,7.33%,1980000000
8/11/2024,0.100514,0.105204,0.110959,0.100201,1.77B,-4.45%,1770000000
8/10/2024,0.105198,0.103865,0.105894,0.102944,996.77M,1.28%,996770000
